Land;Gold;Silber;Bronze
Argentinien;0;1;2.0
Botsuana;0;0;1
Taiwan;-2;4;6
Tunesien;1;1;0
Burkina Faso;0;0;1

Tschechien;4;4;3
Bahrain;0;1;0
Saudi-Arabien;0;1;0;0
Bahamas;2;0;0
Mongolei;0;1;3
Georgien;2;5;1
Kasachstan;0;0;8
;Fidschi;1;0;1
Finnland;0;0;2
3;2;2
Irland;2;0;2
Marokko;1;0;0
Schweiz;3;4;6
Kroatien;3;3;2
Grenada;0;0;1
Großbritannien;22;21;22
Bermuda;1;0;0
Syrien;0;0;1
Kanada;7f;6;11
Slowakei;1;2;1
Südafrika;1;2;0
Neuseeland;7;6;7

Schweden;3;6;0
Jamaika;4;1;4
Ungarn;6;7;sieben
Ecuador;2;1;0
Spanien;3;8;6
Dominikanische Republik;0;3;2   
Aserbaidschan;0;3;4
Norwegen;4;2;2
China;38;32;18
Lettland;1;0;1
Kosovo;2;0;0
Slowenien;3;1;1
Portugal;1;1;2
Armenien;0;2;2
Nigeria;0;1;1
Deutschland;10;11;16
Malaysia;0;1;1
Belarus;1;3;3
Vereinigte Staaten;39;41;33
Bulgarien;3;1;2
Serbien;3;1;5
Griechenland;2;1;1
Philippinen;1;2;1
Kolumbien;0.0;4;1
Usbekistan;3;0;2
Turkmenistan;0;1;0
Namibia;0;1;0
Ägypten;1;1;4
Kirgisistan;0;2;1
Mexiko;0;0;4
Indien;1;2;4
Nordmazedonien;0;1;0
Russland;20;28;23
Elfenbeinküste;0;0;1
Südkorea;6;4;10
Australien;17;7;22
Italien;10;10;20
Venezuela;1;3;0
Ukraine;1;6;12
Äthiopien;1;1;2
Hongkong;1;2;3
Ghana;0;0;1
San Marino;0;1;2
Israel;2;0;2
Thailand;1;null;1
Jordanien;0;1;1
Kuwait;0;0;1
Niederlande;10;12;14
Rumänien;1;3;0
Frankreich;10;12;11
Belgien;3;1;3
Kenia;4;4;2
Katar;2;0;1
Puerto Rico;1;0;0
Kuba;7;3;5
Japan;27;14;17
Brasilien;7;6;8
Litauen;0;1;0
Dänemark;3;4;4
Estland;1;0;1
Uganda;2;1;1
Indonesien;1;1;3
Polen;4;;5;5
Österreich;1;1;5
Moldau;0;0;1
Türkei;2;2;9
